product_id,product_name,composition,color,size,fit,additional material information,messages.waistrise,messages.clothingstyle,care instructions,material,description,imported,collection,price,messages.garmentlength,concept,style_id,color_id,scrapy_datetime
0811993037,Regular Jeans,"Cotton 99%, Spandex 1%",Dark blue,,Regular fit,Recycled cotton 20%,Regular waist,Tapered,Tumble dry medium,Denim,Dark blue,Yes,,"
                $29.99",Long,DENIM,0811993,037,2022-12-05 14:34:37.521016
0811993039,Regular Jeans,"Cotton 98%, Spandex 2%",Dark denim blue,,Regular fit,,Regular waist,Tapered,Tumble dry medium,Denim,Dark denim blue,Yes,,"
                $29.99",Long,DENIM,0811993,039,2022-12-05 14:34:37.521016
0811993040,Regular Jeans,"Cotton 98%, Spandex 2%",Black,,Regular fit,,Regular waist,Tapered,Tumble dry medium,Denim,Black,Yes,,"
                $29.99",Long,DENIM,0811993,040,2022-12-05 14:34:37.521016
0811993044,Regular Jeans,"Shell: Cotton 99%, Spandex 1%",Dark denim blue,,Regular fit,,Regular waist,Tapered,Tumble dry medium,Denim,Dark denim blue,Yes,,"
                $29.99",Long,DENIM,0811993,044,2022-12-05 14:34:37.521016
0811993048,Regular Jeans,"Shell: Cotton 98%, Spandex 2%",Dark blue,,Regular fit,,Regular waist,Tapered,Tumble dry medium,Denim,Dark blue,Yes,,"
                $29.99",Long,DENIM,0811993,048,2022-12-05 14:34:37.521016
0811993050,Regular Jeans,"Shell: Cotton 99%, Spandex 1%",Pale denim grey,,Regular fit,,Regular waist,Tapered,Tumble dry medium,Denim,Pale denim grey,Yes,,"
                $29.99",Long,DENIM,0811993,050,2022-12-05 14:34:37.521016
0811993053,Regular Jeans,"Shell: Cotton 98%, Spandex 2%",Dark denim gray,,Regular fit,,Regular waist,Tapered,Tumble dry medium,Denim,Dark denim gray,Yes,,"
                $29.99",Long,DENIM,0811993,053,2022-12-05 14:34:37.521016
0875105001,Relaxed Jeans,Cotton 100%,Denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,Recycled cotton 20%,Regular waist,,Tumble dry medium,keyFibreType,Denim blue,Yes,,"
                $22.99",Long,DENIM,0875105,001,2022-12-05 14:34:37.521016
0875105002,Relaxed Jeans,Cotton 100%,Black,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,Recycled cotton 20%,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $39.99",Long,DENIM,0875105,002,2022-12-05 14:34:37.521016
0875105003,Relaxed Jeans,Cotton 100%,Light denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,Recycled cotton 20%,Regular waist,,Tumble dry medium,keyFibreType,Light denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,003,2022-12-05 14:34:37.521016
0875105009,Relaxed Jeans,Shell: Cotton 100%,Dark denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,Recycled cotton 20%,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Dark denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,009,2022-12-05 14:34:37.521016
